Case Number,Location,Total Number Occupants,Total Number Units,Licence Commenced,Licence Expires
17/01290/HMOADS,358 Cowley Road Oxford Oxfordshire OX4 2AG,4,4,06-May-17,26-Oct-18
17/00541/HMOADL,40 Coniston Avenue Oxford Oxfordshire OX3 0AN,6,,13-Apr-17,26-Oct-18
17/00157/HMOADS,13 Alexandra Road Oxford Oxfordshire OX2 0DD,4,,27-Oct-17,26-Oct-18
16/04767/HMOADL,14 New High Street Oxford Oxfordshire OX3 7AQ,7,7,10-Nov-16,26-Oct-18
17/03546/HMOLIC,22 Cranham Street Oxford Oxfordshire OX2 6DD,5,5,28-Oct-17,27-Oct-18
16/04617/HMOADS,406 Marston Road Oxford Oxfordshire OX3 0JE,4,4,28-Oct-16,27-Oct-18
16/04612/HMOLIC,25 Horwood Close Oxford Oxfordshire OX3 7RF,7,7,28-Oct-16,27-Oct-18
16/04622/HMOADL,2 Jeune Street Oxford Oxfordshire OX4 1BN,4,4,27-Oct-16,27-Oct-18
17/03547/HMOADL,20 Windmill Road Oxford Oxfordshire OX3 7BX,6,,29-Oct-17,28-Oct-18
17/03493/HMOADS,69 Westlands Drive Oxford Oxfordshire OX3 9QS,4,4,29-Oct-17,28-Oct-18
16/04498/HMOADL,45 Venneit Close Oxford Oxfordshire OX1 1HY,3,,28-Oct-16,28-Oct-18
17/03581/HMOADL,32 Bullingdon Road Oxford Oxfordshire OX4 1QH,3,,30-Oct-17,29-Oct-18
17/03580/HMOADS,25 Nicholas Avenue Oxford Oxfordshire OX3 0RN,5,6,30-Oct-17,29-Oct-18
17/03555/HMOADS,26 Wellington Street Oxford Oxfordshire OX2 6BB,4,3,30-Oct-17,29-Oct-18
16/04638/HMOADL,17 Marlborough Road Oxford Oxfordshire OX1 4LW,5,4,30-Oct-16,29-Oct-18
16/04566/HMOADL,38 Girdlestone Road Oxford Headington Oxfordshire OX3 7NA,5,,29-Oct-16,29-Oct-18
16/04639/HMOADL,128 Magdalen Road Oxford Oxfordshire OX4 1RJ,5,5,30-Oct-16,29-Oct-18
17/03169/HMOADS,20 Dynham Place Oxford Oxfordshire OX3 7NL,4,4,30-Oct-17,29-Oct-18
17/03485/HMOADL,121 Dene Road Oxford Oxfordshire OX3 7EQ,7,,30-Oct-17,29-Oct-18
17/03556/HMOADL,68 Derwent Avenue Oxford Oxfordshire OX3 0AS,5,6,31-Oct-17,30-Oct-18
16/04643/HMOLIC,24 Horwood Close Oxford Headington Oxfordshire OX3 7RF,6,,31-Oct-16,30-Oct-18
17/03264/HMOADS,54 Henley Street Oxford Oxfordshire OX4 1ES,4,,31-Oct-17,30-Oct-18
17/02785/HMOADL,47 East Avenue Oxford Oxfordshire OX4 1XP,3,,31-Oct-17,30-Oct-18
17/03636/HMOLIC,26 Aston Street Oxford OX4 1EP,6,,01-Nov-17,31-Oct-18
17/01632/HMOADL,25 Southfield Road Oxford Oxfordshire OX4 1NX,5,5,01-Nov-17,31-Oct-18
17/03484/HMOADL,29 Mill Lane Marston Oxford Oxfordshire OX3 0QB,5,5,01-Nov-17,31-Oct-18
17/01443/HMOADS,20 Magdalen Road Oxford Oxfordshire OX4 1RP,4,4,03-Jun-17,31-Oct-18
17/03619/HMOLIC,102 Marlborough Road Oxford Oxfordshire OX1 4LS,5,6,01-Nov-17,31-Oct-18
17/03974/HMOADS,11 Lime Walk Oxford Oxfordshire OX3 7AB,4,,01-Nov-17,31-Oct-18
17/03687/HMOADL,22 Courtland Road Oxford Oxfordshire OX4 4JA,5,,01-Nov-17,31-Oct-18
17/04287/HMOADS,21 Routh Road Oxford Oxfordshire OX3 8DA,4,,01-Nov-17,31-Oct-18
17/02560/HMOADL,27 Crowell Road Oxford Oxfordshire OX4 3LL,6,,01-Nov-17,31-Oct-18
17/00910/HMOADS,13 Crown Street Oxford Oxfordshire OX4 1QG,4,4,28-May-17,31-Oct-18
16/05491/HMOADL,71 New High Street Oxford Oxfordshire OX3 7AL,4,5,01-Nov-17,31-Oct-18
16/05038/HMOADL,83 Percy Street Oxford Oxfordshire OX4 3AD,6,6,01-Nov-17,31-Oct-18
17/03318/HMOADL,24 Northfield Road Oxford Oxfordshire OX3 9EW,4,,01-Nov-17,31-Oct-18
17/01637/HMOADL,11 Mileway Gardens Oxford Oxfordshire OX3 7XH,7,6,01-Nov-17,31-Oct-18
17/04052/HMOADL,47 Bartlemas Road Oxford Oxfordshire OX4 1XU,4,,01-Nov-17,31-Oct-18
17/01030/HMOADL,12 Chilswell Road Oxford Oxfordshire OX1 4PJ,5,5,18-May-17,31-Oct-18
16/06193/HMOADL,51 Cardigan Street Oxford Oxfordshire OX2 6BS,5,,02-Nov-17,01-Nov-18
17/04276/HMOADS,14 Cardwell Crescent Oxford Oxfordshire OX3 7QE,4,,02-Nov-17,01-Nov-18
17/04046/HMOLIC,44 Cowley Road Oxford Oxfordshire OX4 1HZ,7,5,02-Nov-17,01-Nov-18
16/06197/HMOADL,32 Clive Road Oxford Oxfordshire OX4 3EJ,10,,02-Nov-17,01-Nov-18
17/01541/HMOLIC,102 Cardigan Street Oxford Oxfordshire OX2 6BW,7,7,02-Nov-17,01-Nov-18
17/03029/HMOADL,5 Canal Street Oxford Oxfordshire OX2 6BQ,4,4,22-Jul-17,01-Nov-18
17/03446/HMOLIC,76 Chilswell Road Oxford OX1 4PU,6,6,02-Nov-17,01-Nov-18
17/04185/HMOADL,83 Cranmer Road Oxford Oxfordshire OX4 2QB,7,,02-Nov-17,01-Nov-18
17/02788/HMOLIC,26 Courtland Road Oxford Oxfordshire OX4 4JA,5,5,02-Nov-17,01-Nov-18
17/04050/HMOADL,89 St Mary's Road Oxford Oxfordshire OX4 1QD,6,6,30-Jul-17,01-Nov-18
17/04047/HMOADL,117 Dene Road Oxford Oxfordshire OX3 7EQ,5,,21-Jul-17,01-Nov-18
17/04173/HMOADL,2 Coniston Avenue Oxford Headington Oxfordshire OX3 0AN,5,,02-Nov-17,01-Nov-18
17/04048/HMOADS,90 East Avenue Oxford Oxfordshire OX4 1XR,4,,21-Jul-17,01-Nov-18
17/03997/HMOADL,74 Cowley Road Littlemore Oxford Oxfordshire OX4 4LG,4,,02-Nov-17,01-Nov-18
17/04049/HMOADS,16 Bullingdon Road Oxford Oxfordshire OX4 1QQ,4,4,25-Jul-17,01-Nov-18
17/03659/HMOADL,4 Leopold Street Oxford Oxfordshire OX4 1PS,4,,02-Nov-17,01-Nov-18
17/03657/HMOLIC,15 Turn Again Lane Oxford Oxfordshire OX1 1QL,5,,02-Nov-17,01-Nov-18
17/03991/HMOADL,36 Cardigan Street Oxford Oxfordshire OX2 6BS,3,,02-Nov-17,01-Nov-18
17/04182/HMOADL,424 Cowley Road Oxford Oxfordshire OX4 2BX,5,,02-Nov-17,01-Nov-18
17/02910/HMOADS,59 Catherine Street Oxford Oxfordshire OX4 3AH,4,4,05-Aug-17,01-Nov-18
17/03944/HMOADS,2 Chatham Road Oxford Oxfordshire OX1 4UY,3,,02-Nov-17,01-Nov-18
16/04663/HMOLIC,3 Old Road Headington Oxford Oxfordshire OX3 7JY,5,5,01-Nov-16,01-Nov-18
17/03674/HMOLIC,94 Barracks Lane Oxford Oxfordshire OX4 2AP,6,,03-Nov-17,02-Nov-18
17/01435/HMOADS,9 Beechey Avenue Oxford Marston Oxfordshire OX3 0JU,4,,03-Nov-17,02-Nov-18
17/03644/HMOADL,65 Wharton Road Oxford Oxfordshire OX3 8AL,6,,03-Nov-17,02-Nov-18
17/03860/HMOLIC,353 Cowley Road Oxford Oxfordshire OX4 2BP,10,6,03-Nov-17,02-Nov-18
17/03316/HMOADL,25 Argyle Street Oxford Oxfordshire OX4 1ST,4,4,03-Nov-17,02-Nov-18
16/06228/HMOADS,114 London Road Headington Oxford Oxfordshire OX3 9AX,4,4,03-Nov-17,02-Nov-18
17/03660/HMOADS,86 Venneit Close Oxford Oxfordshire OX1 1HY,4,,04-Nov-17,03-Nov-18
17/03684/HMOLIC,76 James Street Oxford OX4 1EX,5,,05-Nov-17,04-Nov-18
16/04714/HMOLIC,98 Hurst Street Oxford Oxfordshire OX4 1HF,5,5,04-Nov-16,04-Nov-18
16/04715/HMOADL,5A St Omer Road Oxford Oxfordshire OX4 3HB,5,,04-Nov-16,04-Nov-18
17/03456/HMOADL,222 London Road Headington Oxford Oxfordshire OX3 9EG,6,,03-Nov-17,04-Nov-18
16/04710/HMOLIC,26 Reliance Way Oxford Oxfordshire OX4 2FU,6,6,04-Nov-16,04-Nov-18
17/03647/HMOADS,11 Denmark Street Oxford OX4 1QS,4,5,06-Nov-17,05-Nov-18
16/04718/HMOADS,21 Venneit Close Oxford Oxfordshire OX1 1HZ,3,,05-Nov-16,05-Nov-18
17/01899/HMOADL,2 Monmouth Road Oxford Oxfordshire OX1 4TD,7,6,06-Nov-17,05-Nov-18
17/02916/HMOLIC,14 Divinity Road Oxford Oxfordshire OX4 1LJ,6,5,10-Aug-17,05-Nov-18
17/04247/HMOLIC,14 Addison Crescent Oxford Oxfordshire OX4 4BD,6,,13-Aug-17,05-Nov-18
17/04285/HMOADS,18 Essex Street Oxford Oxfordshire OX4 3AW,4,4,06-Aug-17,05-Nov-18
16/04719/HMOADS,84 Venneit Close Oxford Oxfordshire OX1 1HY,4,,05-Nov-16,05-Nov-18
17/02912/HMOADS,7 Kelburne Road Oxford Oxfordshire OX4 3SQ,4,4,06-Aug-17,05-Nov-18
17/03648/HMOADL,97 Windmill Road Oxford Oxfordshire OX3 7BT,5,5,07-Nov-17,06-Nov-18
17/04254/HMOLIC,13 Cardwell Crescent Oxford Oxfordshire OX3 7QE,7,7,25-Aug-17,06-Nov-18
17/04044/HMOADS,4 Randolph Street Oxford Oxfordshire OX4 1XY,4,4,30-May-17,06-Nov-18
17/04042/HMOADL,57 Rectory Road Oxford Oxfordshire OX4 1BW,5,,31-Oct-16,06-Nov-18
17/03738/HMOADL,118 Old Road Headington Oxford Oxfordshire OX3 8SX,4,,07-Nov-17,06-Nov-18
17/04258/HMOADL,41 Gipsy Lane Oxford Oxfordshire OX3 7PT,4,4,06-Sep-17,06-Nov-18
16/04734/HMOLIC,14 Horwood Close Oxford Oxfordshire OX3 7RF,6,6,07-Nov-16,06-Nov-18
17/03378/HMOADL,28 Cherwell Drive Oxford Oxfordshire OX3 0LZ,4,,28-Aug-17,06-Nov-18
17/04051/HMOADS,26 Oatlands Road Oxford Oxfordshire OX2 0ET,4,,12-Aug-17,06-Nov-18
17/03669/HMOADS,21 Warneford Road Oxford Oxfordshire OX4 1LU,4,4,07-Nov-17,06-Nov-18
17/03671/HMOLIC,4 Regent Street Oxford Oxfordshire OX4 1QU,7,7,08-Nov-17,07-Nov-18
16/04746/HMOADL,18 Howard Street Oxford Oxfordshire OX4 3BE,4,4,07-Nov-16,07-Nov-18
17/04077/HMOADS,21 Carlton Road Oxford Oxfordshire OX2 7SA,4,,08-Nov-17,07-Nov-18
17/03779/HMOLIC,58 Warwick Street Oxford Oxfordshire OX4 1SX,6,,08-Nov-17,07-Nov-18
17/01536/HMOLIC,7 Drove Acre Road Oxford OX4 3DF,8,,08-Nov-17,07-Nov-18
17/04257/HMOLIC,1 Crown Street Oxford Oxfordshire OX4 1QG,5,5,28-Aug-17,07-Nov-18
17/04271/HMOLIC,77 Cowley Road Oxford Oxfordshire OX4 1HR,5,,08-Nov-17,07-Nov-18
17/03457/HMOADL,10A Kelburne Road Oxford Oxfordshire OX4 3SJ,10,,11-Sep-17,07-Nov-18
17/04273/HMOADS,68 Cricket Road Oxford Oxfordshire OX4 3DH,4,,08-Nov-17,07-Nov-18
17/03946/HMOADL,62 Essex Street Oxford Oxfordshire OX4 3AW,5,,19-Sep-17,07-Nov-18
16/04972/HMOADL,52 Marston Street Oxford Oxfordshire OX4 1JU,4,,08-Nov-16,07-Nov-18
17/03745/HMOLIC,135 Windmill Road Oxford Oxfordshire OX3 7DN,6,6,08-Nov-17,07-Nov-18
17/01528/HMOLIC,153 Divinity Road Oxford Oxfordshire OX4 1LP,6,6,02-Jun-17,07-Nov-18
17/03802/HMOADS,45 Vicarage Road Oxford OX1 4RE,4,3,08-Nov-17,07-Nov-18
17/03746/HMOADL,124 Dene Road Oxford Oxfordshire OX3 7EG,5,4,09-Nov-17,08-Nov-18
17/04043/HMOADL,7 Oxford Road Cowley Oxford Oxfordshire OX4 2EN,5,5,25-Apr-17,08-Nov-18
17/03856/HMOADS,31 Victor Street Oxford Oxfordshire OX2 6BT,3,3,09-Nov-17,08-Nov-18
17/03330/HMOADL,16 Union Street Oxford Oxfordshire OX4 1JP,6,6,09-Nov-17,08-Nov-18
17/03798/HMOADS,75 Great Clarendon Street Oxford Oxfordshire OX2 6AU,3,,09-Nov-17,08-Nov-18
16/04755/HMOLIC,46 Reliance Way Oxford Oxfordshire OX4 2FU,6,6,09-Nov-16,09-Nov-18
17/02453/HMOLIC,68 Walton Street Oxford OX2 6AG,8,7,10-Nov-17,09-Nov-18
16/04759/HMOLIC,5 Marston Street Oxford Oxfordshire OX4 1JU,12,12,10-Nov-16,09-Nov-18
17/03679/HMOADS,2 Bedford Street Oxford Oxfordshire OX4 1SU,4,,10-Nov-17,09-Nov-18
17/02533/HMOADL,1 Jersey Road Oxford OX4 4RT,7,,04-Jul-17,09-Nov-18
17/03740/HMOADL,10 Divinity Road Oxford Oxfordshire OX4 1LJ,5,,10-Nov-17,09-Nov-18
17/04154/HMOADL,61A St Clement's Street Oxford Oxfordshire OX4 1AH,6,,10-Nov-17,09-Nov-18
17/03748/HMOADL,13 David Walter Close Oxford Oxfordshire OX2 8NJ,4,5,10-Nov-17,09-Nov-18
17/03662/HMOLIC,105 Cardigan Street Oxford Oxfordshire OX2 6BW,6,,10-Nov-17,09-Nov-18
17/03864/HMOADS,39 Green Road Oxford Oxfordshire OX3 8LD,4,4,10-Nov-17,09-Nov-18
17/03024/HMOLIC,12 Sheepway Court Oxford Oxfordshire OX4 4JL,5,,10-Nov-17,09-Nov-18
16/04800/HMOADS,79 Venneit Close Oxford Oxfordshire OX1 1HY,3,,09-Nov-16,09-Nov-18
17/03497/HMOLIC,114 Leiden Road Oxford Oxfordshire OX3 8QU,6,,10-Nov-17,09-Nov-18
16/02240/HMOADS,26 Kenilworth Avenue Oxford Oxfordshire OX4 2AN,4,4,10-Jun-16,10-Nov-18
16/04806/HMOADS,58 Cowley Road Oxford Oxfordshire OX4 1JB,3,3,10-Nov-16,10-Nov-18
17/03708/HMOADS,28 Windmill Road Oxford Oxfordshire OX3 7BX,4,,11-Nov-17,10-Nov-18
16/04780/HMOADS,37 Balfour Road Oxford Oxfordshire OX4 6AE,4,4,10-Nov-16,10-Nov-18
17/03749/HMOADL,12 Yeats Close Oxford Oxfordshire OX4 2RG,4,4,11-Nov-17,10-Nov-18
16/04897/HMOLIC,107 Banbury Road Oxford Oxfordshire OX2 6JX,44,44,10-Nov-16,10-Nov-18
16/05690/HMOADL,384 Cowley Road Oxford Oxfordshire OX4 2BY,4,6,11-Nov-16,10-Nov-18
16/04764/HMOADL,7 Cross Street Oxford Oxfordshire OX4 1BZ,7,,11-Nov-16,10-Nov-18
17/03865/HMOLIC,33 Oxford Road Littlemore Oxford Oxfordshire OX4 4PF,5,5,11-Nov-17,10-Nov-18
16/04795/HMOADL,5 Rectory Road Oxford Oxfordshire OX4 1BW,4,,11-Nov-16,11-Nov-18
17/03060/HMOADL,1 Wytham Street Oxford Oxfordshire OX1 4SU,10,10,12-Nov-17,11-Nov-18
17/03820/HMOADL,102A Cowley Road Oxford Oxfordshire OX4 1JE,4,4,12-Nov-17,11-Nov-18
16/04814/HMOLIC,93 Fairacres Road Oxford Oxfordshire OX4 1TQ,6,6,11-Nov-16,11-Nov-18
17/03780/HMOADS,15 East Avenue Oxford Oxfordshire OX4 1XP,4,4,12-Nov-17,11-Nov-18
17/03818/HMOADS,71 Gipsy Lane Oxford Headington Oxfordshire OX3 7PU,4,,13-Nov-17,12-Nov-18
17/04229/HMOLIC,45 Marlborough Road Oxford Oxfordshire OX1 4LW,6,,13-Nov-17,12-Nov-18
17/04252/HMOADL,258A Cowley Road Oxford Oxfordshire OX4 1UH,5,,24-Aug-17,12-Nov-18
17/03853/HMOADL,297 Cowley Road Oxford Oxfordshire OX4 2AQ,6,,14-Oct-17,12-Nov-18
17/03052/HMOADS,163 Morrell Avenue Oxford Oxfordshire OX4 1NG,4,,13-Nov-17,12-Nov-18
17/02028/HMOLIC,14 Ashmole Place Oxford Oxfordshire OX4 6TE,8,,13-Nov-17,12-Nov-18
17/03781/HMOADS,14 Western Road Oxford Oxfordshire OX1 4LG,5,,13-Nov-17,12-Nov-18
16/04712/HMOADS,103 Valentia Road Oxford Oxfordshire OX3 7PP,4,,12-Nov-16,12-Nov-18
17/03224/HMOADS,15 Arlington Drive Oxford Oxfordshire OX3 0SH,4,,13-Nov-17,12-Nov-18
17/04188/HMOLIC,26 Campbell Road Oxford Oxfordshire OX4 3PF,5,,13-Nov-17,12-Nov-18
17/03890/HMOLIC,143 Merewood Avenue Oxford Oxfordshire OX3 8EQ,6,,13-Nov-17,12-Nov-18
17/03783/HMOADL,44 Windmill Road Oxford Oxfordshire OX3 7BX,5,5,13-Nov-17,12-Nov-18
16/05336/HMOADL,27 Lime Walk Oxford Oxfordshire OX3 7AB,5,,13-Nov-16,12-Nov-18
16/05319/HMOADS,8 East Avenue Oxford Oxfordshire OX4 1XW,4,,14-Nov-17,13-Nov-18
17/03791/HMOADL,34 Annesley Road Oxford Oxfordshire OX4 4JQ,6,,14-Nov-17,13-Nov-18
17/03822/HMOADL,6 Phipps Road Oxford Oxfordshire OX4 3HH,5,5,14-Nov-17,13-Nov-18
16/04837/HMOLIC,27 Carlton Road Oxford Oxfordshire OX2 7SA,5,5,14-Nov-16,13-Nov-18
17/04018/HMOADL,111 Fern Hill Road Oxford Oxfordshire OX4 2JR,6,,14-Nov-17,13-Nov-18
17/03892/HMOADL,15 Boulter Street Oxford Oxfordshire OX4 1AX,5,,15-Nov-17,14-Nov-18
17/03893/HMOLIC,138 Hurst Street Oxford Oxfordshire OX4 1HG,6,,15-Nov-17,14-Nov-18
17/04294/HMOLIC,11 Meyseys Close Oxford Oxfordshire OX3 7SF,5,,15-Nov-17,14-Nov-18
16/04821/HMOADS,Flat 5 Jean Marguerite Court 6 Brook Street Oxford Oxfordshire OX1 4JT,3,3,14-Nov-16,14-Nov-18
16/04838/HMOADS,Flat 4 Jean Marguerite Court 6 Brook Street Oxford Oxfordshire OX1 4JT,3,3,14-Nov-16,14-Nov-18
17/03895/HMOADS,16 Westbury Crescent Oxford Oxfordshire OX4 3RZ,4,,16-Nov-17,15-Nov-18
17/02403/HMOADL,10 Parsons Place Oxford Oxfordshire OX4 1NL,5,,16-Nov-17,15-Nov-18
17/04662/HMOADL,23 The Slade Oxford Oxfordshire OX3 7HL,10,10,16-Nov-17,15-Nov-18
17/00484/HMOLIC,89 Bullingdon Road Oxford Oxfordshire OX4 1QL,6,6,16-Nov-17,15-Nov-18
17/03870/HMOADS,50 Headley Way Oxford Oxfordshire OX3 0LU,4,,16-Nov-17,15-Nov-18
16/03362/HMOADL,4 Frederick Road Oxford Oxfordshire OX4 3HL,7,,04-Aug-16,15-Nov-18
17/03376/HMOADL,14 Norreys Avenue Oxford Oxfordshire OX1 4SS,5,5,16-Nov-17,15-Nov-18
17/03312/HMOADL,26 Outram Road Oxford Oxfordshire OX4 3PD,6,6,16-Nov-17,15-Nov-18
17/04198/HMOADL,12 Heather Place Oxford Oxfordshire OX3 0LG,3,,16-Nov-17,15-Nov-18
17/03324/HMOADL,26 Edgeway Road Oxford Marston Oxfordshire OX3 0HE,5,3,16-Nov-17,15-Nov-18
17/03908/HMOLIC,53 Divinity Road Oxford Oxfordshire OX4 1LH,5,5,16-Nov-17,15-Nov-18
17/03906/HMOADL,128 Leiden Road Oxford Oxfordshire OX3 8QU,5,4,14-Nov-17,15-Nov-18
17/03025/HMOADL,109 Dene Road Oxford Oxfordshire OX3 7EQ,5,,16-Nov-17,15-Nov-18
16/04840/HMOADS,253A London Road Headington Oxford Oxfordshire OX3 9EH,4,4,15-Nov-16,15-Nov-18
17/03947/HMOADS,15 Peel Place Oxford Oxfordshire OX1 4UT,4,,17-Nov-17,16-Nov-18
17/03277/HMOADS,2 South Street Oxford Oxfordshire OX2 0BE,3,,17-Nov-17,16-Nov-18
17/02570/HMOLIC,13 Hawkins Street Oxford Oxfordshire OX4 1YD,5,5,17-Nov-17,16-Nov-18
17/03911/HMOADL,28 Divinity Road Oxford Oxfordshire OX4 1LJ,6,6,18-Nov-17,17-Nov-18
17/03308/HMOADL,53 Cricket Road Oxford Oxfordshire OX4 3DH,5,,18-Nov-17,17-Nov-18
16/05267/HMOLIC,354 Iffley Road Oxford Oxfordshire OX4 4AT,6,,18-Nov-16,17-Nov-18
16/05269/HMOADS,30 North Way Headington Oxford Oxfordshire OX3 9EU,3,,17-Nov-16,17-Nov-18
17/03863/HMOADS,38 Littlehay Road Oxford Oxfordshire OX4 3EG,3,3,18-Nov-17,17-Nov-18
16/04849/HMOADL,4 Morris Crescent Oxford Oxfordshire OX4 3ED,7,,18-Nov-16,17-Nov-18
16/04868/HMOADS,13 Gipsy Lane Oxford Headington Oxfordshire OX3 7PT,4,4,19-Nov-16,18-Nov-18
16/04854/HMOADS,9 Brookfield Crescent Oxford Headington Oxfordshire OX3 0AZ,4,,18-Nov-16,18-Nov-18
17/04017/HMOADS,48 Princes Street Oxford Oxfordshire OX4 1DE,3,,19-Nov-17,18-Nov-18
17/03307/HMOADL,36 Kersington Crescent Oxford Oxfordshire OX4 3RJ,7,7,19-Nov-17,18-Nov-18
17/03940/HMOLIC,44 Divinity Road Oxford Oxfordshire OX4 1LJ,8,8,20-Nov-17,19-Nov-18
17/01664/HMOADS,80 Venneit Close Oxford Oxfordshire OX1 1HY,4,,20-Nov-17,19-Nov-18
17/01671/HMOADS,2 Denmark Street Oxford Oxfordshire OX4 1QS,5,,20-Nov-17,19-Nov-18
17/03323/HMOADS,11 East Avenue Oxford Oxfordshire OX4 1XP,4,4,20-Nov-17,19-Nov-18
16/06061/HMOADS,First Floor Flat C 47-48 St John Street Oxford Oxfordshire OX1 2LQ,4,,20-Nov-17,19-Nov-18
16/04900/HMOADS,62 London Road Headington Oxford Oxfordshire OX3 7PD,5,,20-Nov-16,19-Nov-18
17/03753/HMOADS,52 Oliver Road Oxford Oxfordshire OX4 2JF,4,4,20-Nov-17,19-Nov-18
17/04157/HMOADL,11 Nuffield Road Oxford Headington Oxfordshire OX3 8RQ,7,8,20-Nov-17,19-Nov-18
16/04596/HMOADS,33 Essex Street Oxford Oxfordshire OX4 3AW,3,4,19-Nov-16,19-Nov-18
17/04200/HMOADL,78 Divinity Road Oxford Oxfordshire OX4 1LN,6,6,20-Nov-17,19-Nov-18
17/03646/HMOADL,217 London Road Headington Oxford Oxfordshire OX3 9JA,5,5,20-Nov-17,19-Nov-18
17/04277/HMOADL,58 Morrell Avenue Oxford Oxfordshire OX4 1ND,8,,20-Nov-17,19-Nov-18
17/03235/HMOADS,15 Massey Close Oxford Oxfordshire OX3 7NE,4,,20-Nov-17,19-Nov-18
17/01672/HMOLIC,6 Denmark Street Oxford Oxfordshire OX4 1QS,6,6,20-Nov-17,19-Nov-18
16/04594/HMOADS,Flat D 217 Cowley Road Oxford Oxfordshire OX4 1XG,3,,19-Nov-16,19-Nov-18
16/04932/HMOADL,8 Sheldon Way Oxford Oxfordshire OX4 3TR,5,,19-Nov-16,19-Nov-18
17/03126/HMOADS,39 Benson Road Oxford Oxfordshire OX3 7EJ,4,4,20-Nov-17,19-Nov-18
17/02572/HMOADL,The Original Swan 188 Oxford Road Cowley Oxford Oxfordshire OX4 2LF,6,6,21-Nov-17,20-Nov-18
17/03309/HMOADL,12 Holyoake Road Oxford Oxfordshire OX3 8AE,4,4,22-Nov-17,21-Nov-18
17/03306/HMOADL,71 Hugh Allen Crescent Marston Oxford OX3 0HL,7,,22-Nov-17,21-Nov-18
17/00565/HMOADS,18 Bampton Close Oxford Oxfordshire OX4 6NN,4,,22-Nov-17,21-Nov-18
17/04175/HMOLIC,102 Spencer Crescent Oxford Oxfordshire OX4 4SW,6,,22-Nov-17,21-Nov-18
17/00966/HMOADL,25A Botley Road Oxford Oxfordshire OX2 0BN,5,,22-Nov-17,21-Nov-18
17/03305/HMOADS,144 Howard Street Oxford Oxfordshire OX4 3BG,3,,22-Nov-17,21-Nov-18
15/05414/HMOADS,306 Cowley Road Oxford Oxford OX4 2AF,8,,23-Nov-17,22-Nov-18
16/04773/HMOLIC,4 Folly Bridge Oxford Oxfordshire OX1 4LB,8,,23-Nov-17,22-Nov-18
17/00949/HMOADL,315 Cowley Road Oxford Oxfordshire OX4 2AQ,5,,23-Nov-17,22-Nov-18
17/04255/HMOADS,236 Headington Road Oxford Oxfordshire OX3 7PR,4,4,23-Nov-17,22-Nov-18
17/03949/HMOADL,300 Iffley Road Oxford Oxfordshire OX4 4AE,5,5,23-Nov-17,22-Nov-18
17/03110/HMOADL,53 Peat Moors Headington Oxford OX3 7HS,5,,23-Nov-17,22-Nov-18
16/05308/HMOADS,76 The Slade Oxford Oxfordshire OX3 7DX,5,,23-Nov-17,22-Nov-18
17/03996/HMOADL,8 Valentia Road Oxford Oxfordshire OX3 7PL,5,6,23-Nov-17,22-Nov-18
15/05460/HMOADS,314 Cowley Road Oxford Oxford OX4 2AF,9,,23-Nov-17,22-Nov-18
16/05175/HMOLIC,135 Headley Way Oxford Oxfordshire OX3 7SS,6,5,23-Nov-17,22-Nov-18
17/03329/HMOADL,57 Elms Drive Oxford Oxfordshire OX3 0NW,6,6,23-Nov-17,22-Nov-18
17/02002/HMOADL,109 Fern Hill Road Oxford Oxfordshire OX4 2JR,7,7,23-Nov-17,22-Nov-18
17/01633/HMOADL,14 Cinnaminta Road Oxford Headington Oxfordshire OX3 7JB,6,,23-Nov-17,22-Nov-18
17/01054/HMOADL,68 Sunderland Avenue Oxford Oxfordshire OX2 8DU,5,,23-Nov-17,22-Nov-18
17/04163/HMOLIC,48A Walton Street Oxford Oxfordshire OX2 6AD,6,,23-Nov-17,22-Nov-18
16/04936/HMOADL,13 Milton Road Oxford Oxfordshire OX4 3EE,5,5,23-Nov-17,22-Nov-18
17/03260/HMOADS,Flat 1 86-90 Cowley Road Oxford Oxfordshire OX4 1JB,6,,23-Nov-17,22-Nov-18
17/00811/HMOADS,43 Cumberland Road Oxford Oxfordshire OX4 2BZ,4,,23-Nov-17,22-Nov-18
16/04921/HMOLIC,19 Crown Street Oxford OX4 1QG,6,,23-Nov-16,23-Nov-18
17/03972/HMOADS,156 Barns Road Oxford Oxfordshire OX4 3RG,4,,25-Nov-17,24-Nov-18
16/04947/HMOLIC,15 Southdale Road Oxford Oxfordshire OX2 7SE,5,5,25-Nov-16,24-Nov-18
16/04923/HMOADL,22 Jersey Road Oxford OX4 4RT,5,6,25-Nov-16,24-Nov-18
17/04058/HMOADL,6 Glebe Street Oxford Oxfordshire OX4 1DQ,4,5,25-Nov-17,24-Nov-18
16/05274/HMOADS,8 Hadow Road Oxford Oxfordshire OX3 0JW,5,,26-Nov-16,25-Nov-18
17/03954/HMOADL,10 Benson Road Oxford Oxfordshire OX3 7EH,5,5,26-Nov-17,25-Nov-18
17/04033/HMOADL,16 Liddell Road Oxford Oxfordshire OX4 3QT,6,5,26-Nov-17,25-Nov-18
17/01412/HMOADS,6 Marston Street Oxford Oxfordshire OX4 1JU,4,,27-Nov-17,26-Nov-18
17/03655/HMOADL,5 Kames Close Oxford OX4 3LD,7,,27-Nov-17,26-Nov-18
17/01304/HMOADL,62 Mark Road Oxford Oxfordshire OX3 8PA,6,,27-Nov-17,26-Nov-18
