Case Number,Location,Total Number Occupants,Total Number Units,Licence Commenced,Licence Expires
15/05619/HMOADS,58 Venneit Close Oxford Oxfordshire OX1 1HY,3,3,30-Jan-16,30-Jan-18
16/03170/HMOADL,3 Woodman Villas New High Street Oxford Oxfordshire OX3 7AT,3,,30-Jan-17,30-Jan-18
16/05386/HMOADL,249 Marston Road Oxford Oxfordshire OX3 0EN,5,,30-Jan-17,30-Jan-18
16/04437/HMOADL,47 St Clements Street Oxford Oxfordshire OX4 1AG,5,,30-Jan-17,30-Jan-18
16/05846/HMOADL,107 Bulan Road Oxford Oxfordshire OX3 7HZ,5,,30-Jan-17,30-Jan-18
16/05581/HMOADS,19 East Avenue Oxford Oxfordshire OX4 1XP,4,4,31-Jan-17,31-Jan-18
16/05317/HMOADS,1 Marston Street Oxford Oxfordshire OX4 1JU,4,,31-Jan-17,31-Jan-18
16/05858/HMOADL,52 James Street Oxford Oxfordshire OX4 1EU,5,5,31-Jan-17,31-Jan-18
16/05861/HMOADS,87 Venneit Close Oxford Oxfordshire OX1 1HY,4,,31-Jan-17,31-Jan-18
16/05456/HMOADL,18 Cherwell Street Oxford Oxfordshire OX4 1BG,3,3,31-Dec-16,31-Jan-18
16/05440/HMOLIC,41 Bartlemas Road Oxford OX4 1XU,8,,31-Jan-17,31-Jan-18
16/05027/HMOADS,Ground Floor Flat 195A Cowley Road Oxford Oxfordshire OX4 1XA,3,,31-Jan-17,31-Jan-18
16/05847/HMOADL,23 Leopold Street Oxford Oxfordshire OX4 1PS,4,4,02-Feb-17,01-Feb-18
16/05850/HMOADS,22 George Moore Close Oxford Oxfordshire OX4 4BZ,4,,01-Feb-17,01-Feb-18
16/05408/HMOADL,170 Abingdon Road Oxford Oxfordshire OX1 4RA,4,4,01-Jan-17,01-Feb-18
16/04449/HMOADS,42 Rose Hill Oxford Oxfordshire OX4 4HS,4,,01-Feb-17,01-Feb-18
14/03462/HMOADL,8 Milton Road Oxford Oxfordshire OX4 3EE,6,6,02-Feb-17,02-Feb-18
16/05867/HMOADL,25 Meyseys Close Oxford Oxfordshire OX3 7SF,5,,02-Feb-17,02-Feb-18
16/01912/HMOADS,31 Peppercorn Avenue Oxford Oxfordshire OX3 8RY,3,,03-Jun-16,02-Feb-18
16/01211/HMOLIC,100 Bullingdon Road Oxford Oxfordshire OX4 1QN,5,,02-Feb-17,02-Feb-18
16/05989/HMOLIC,5 - 8 Pembroke Street Oxford Oxfordshire OX1 1BP,39,,03-Feb-17,02-Feb-18
16/04267/HMOADL,5 St Omer Road Oxford Oxfordshire OX4 3HB,5,,02-Feb-17,02-Feb-18
17/01008/HMOLIC,Site Of 4 Pembroke Street And 94 St Aldate's Oxford Oxfordshire OX1 1BP,16,,17-Mar-17,02-Feb-18
16/00493/HMOADS,27 Gordon Street Oxford Oxfordshire OX1 4RJ,4,,02-Feb-17,02-Feb-18
16/02403/HMOLIC,103 Kingston Road Oxford Oxfordshire OX2 6RN,6,6,02-Feb-17,02-Feb-18
16/00582/HMOADL,11 Gouldland Gardens Oxford Oxfordshire OX3 9DQ,6,,03-Feb-17,03-Feb-18
16/00557/HMOADL,8 Derwent Avenue Oxford Oxfordshire OX3 0AP,5,5,03-Feb-17,03-Feb-18
16/05869/HMOADL,35 Masons Road Oxford Headington Oxfordshire OX3 8QL,6,,03-Feb-17,03-Feb-18
17/00003/HMOADS,82 Venneit Close Oxford Oxfordshire OX1 1HY,4,4,04-Feb-17,03-Feb-18
16/05973/HMOADL,30 Westbury Crescent Oxford Oxfordshire OX4 3RZ,8,,03-Feb-17,03-Feb-18
16/05407/HMOLIC,137 Windmill Road Oxford Oxfordshire OX3 7DN,5,,03-Feb-17,03-Feb-18
16/04687/HMOADS,9 Victoria Road Oxford Oxfordshire OX2 7QF,5,,04-Nov-16,03-Feb-18
16/05434/HMOLIC,15 Regent Street Oxford Oxfordshire OX4 1QU,6,,04-Jan-17,03-Feb-18
16/05871/HMOADL,240A Marston Road Oxford Oxfordshire OX3 0EL,5,,03-Feb-17,03-Feb-18
16/05935/HMOLIC,53 Hurst Street Oxford Oxfordshire OX4 1HA,5,5,03-Feb-17,03-Feb-18
16/05992/HMOLIC,11 Pembroke Street Oxford Oxfordshire OX1 1BP,11,,03-Feb-17,03-Feb-18
16/05203/HMOADL,22 Ablett Close Oxford Oxfordshire OX4 1XH,3,,03-Feb-17,03-Feb-18
16/05879/HMOADS,30 Princes Street Oxford Oxfordshire OX4 1DD,4,,04-Feb-17,04-Feb-18
16/01958/HMOLIC,216A Abingdon Road Oxford Oxfordshire OX1 4SP,5,5,05-Jun-16,04-Feb-18
16/05944/HMOLIC,155 Divinity Road Oxford Oxfordshire OX4 1LP,6,6,05-Feb-17,04-Feb-18
16/03504/HMOLIC,18 Newton Road Oxford Oxfordshire OX1 4PT,5,,04-Sep-16,04-Feb-18
16/05936/HMOADS,58 Stratford Street Oxford Oxfordshire OX4 1SW,4,4,05-Feb-17,04-Feb-18
16/06047/HMOADS,23B Albert Street Oxford Oxfordshire OX2 6AZ,3,3,06-Feb-17,05-Feb-18
16/06016/HMOLIC,50 James Street Oxford Oxfordshire OX4 1EU,5,,06-Feb-17,05-Feb-18
16/05462/HMOADS,21 Cricket Road Oxford Oxfordshire OX4 3DQ,6,,06-Jan-17,06-Feb-18
16/05937/HMOADL,26 Southfield Road Oxford Oxfordshire OX4 1NZ,4,4,06-Feb-17,06-Feb-18
16/05981/HMOADL,21 New High Street Oxford Oxfordshire OX3 7AJ,5,,06-Feb-17,06-Feb-18
16/00317/HMOLIC,8 Cricket Road Oxford OX4 3DG,5,5,06-Feb-17,06-Feb-18
16/03562/HMOADL,12 Divinity Road Oxford Oxfordshire OX4 1LJ,5,,06-Feb-17,06-Feb-18
16/05515/HMOADS,119 Bullingdon Road Oxford Oxfordshire OX4 1QP,4,,07-Feb-17,07-Feb-18
16/06034/HMOLIC,55 Henley Street Oxford Oxfordshire OX4 1ES,5,5,08-Feb-17,07-Feb-18
16/03850/HMOLIC,7 Harcourt Terrace Oxford Oxfordshire OX3 7QF,5,5,08-Sep-16,07-Feb-18
16/03540/HMOLIC,82 James Street Oxford Oxfordshire OX4 1EX,6,5,07-Feb-17,07-Feb-18
16/06030/HMOLIC,53 Henley Street Oxford Oxfordshire OX4 1ES,5,5,08-Feb-17,07-Feb-18
16/04535/HMOADL,57 Botley Road Oxford Oxfordshire OX2 0BP,4,4,23-Oct-16,07-Feb-18
15/02737/HMOLIC,24 James Street Oxford Oxfordshire OX4 1ET,6,6,07-Feb-17,07-Feb-18
16/05323/HMOADL,2 Beech Road Oxford Oxfordshire OX3 7RR,7,,07-Feb-17,07-Feb-18
16/03842/HMOLIC,77 James Street Oxford Oxfordshire OX4 1EX,6,6,07-Feb-17,07-Feb-18
16/00079/HMOADS,41 Trinity Street Oxford Oxfordshire OX1 1TY,4,4,09-Feb-16,08-Feb-18
16/04752/HMOADL,77 Oliver Road Oxford Oxfordshire OX4 2JH,5,,09-Nov-16,08-Feb-18
16/02982/HMOLIC,125 Botley Road Oxford Oxfordshire OX2 0HD,8,8,08-Jul-16,08-Feb-18
16/03846/HMOADL,48 Oxford Road Old Marston Oxford Oxfordshire OX3 0RD,5,4,08-Sep-16,08-Feb-18
16/05123/HMOADS,26 Fairlie Road Oxford Oxfordshire OX4 3SW,5,,08-Feb-17,08-Feb-18
17/00012/HMOADL,6 St Mary's Road Oxford Oxfordshire OX4 1PX,7,5,09-Feb-17,08-Feb-18
16/05527/HMOADL,3 Coolidge Close Oxford Oxfordshire OX3 7NP,5,5,09-Jan-17,08-Feb-18
17/00361/HMOADS,17 East Avenue Oxford Oxfordshire OX4 1XP,4,,09-Feb-17,08-Feb-18
16/05141/HMOADL,320 Cowley Road Oxford Oxfordshire OX4 2AF,5,5,09-Dec-16,08-Feb-18
16/00080/HMOADS,Flat 1 92 Botley Road Oxford Oxfordshire OX2 0BW,4,,09-Feb-16,08-Feb-18
16/06024/HMOADL,33 Howard Street Oxford Oxfordshire OX4 3AY,4,,08-Feb-17,08-Feb-18
16/02645/HMOADL,26 Warneford Road Oxford Oxfordshire OX4 1LU,5,,08-Feb-17,08-Feb-18
16/04330/HMOLIC,2 East Avenue Oxford Oxfordshire OX4 1XW,7,,09-Feb-17,09-Feb-18
16/00081/HMOADS,47 Trinity Street Oxford Oxfordshire OX1 1TY,4,,10-Feb-16,09-Feb-18
16/03857/HMOADS,84 East Avenue Oxford Oxfordshire OX4 1XR,4,4,10-Sep-16,09-Feb-18
16/05606/HMOADL,76 East Avenue Oxford Oxfordshire OX4 1XP,6,,09-Feb-17,09-Feb-18
16/05625/HMOADL,30 Masons Road Oxford Oxfordshire OX3 8QJ,5,,09-Feb-17,09-Feb-18
16/06177/HMOADL,198 Howard Street Oxford OX4 3BH,5,4,10-Feb-17,09-Feb-18
16/03853/HMOADS,113A London Road Headington Oxford Oxfordshire OX3 9HZ,4,,09-Sep-16,09-Feb-18
16/01360/HMOLIC,4 Longworth Road Oxford Oxfordshire OX2 6RA,7,,09-Feb-16,09-Feb-18
16/06049/HMOADS,39 Ridgefield Road Oxford Oxfordshire OX4 3BU,3,5,10-Feb-17,09-Feb-18
16/05923/HMOADS,8 Nye Bevan Close Oxford Oxfordshire OX4 1GB,4,,09-Feb-17,09-Feb-18
16/05976/HMOLIC,168 Marlborough Road Oxford Oxfordshire OX1 4LT,5,,09-Feb-17,09-Feb-18
16/06007/HMOADS,6 Brasenose Driftway Oxford Oxfordshire OX4 2QX,4,4,10-Feb-17,09-Feb-18
16/03454/HMOADS,95 Reliance Way Oxford Oxfordshire OX4 2FW,3,3,10-Aug-16,09-Feb-18
16/05939/HMOADS,8 Weldon Road Oxford Oxfordshire OX3 0HP,4,,09-Feb-17,09-Feb-18
16/00652/HMOADL,88 Derwent Avenue Headington Oxford OX3 0AS,5,5,10-Feb-17,10-Feb-18
16/03311/HMOADS,69 Cranham Street Oxford Oxfordshire OX2 6DE,4,,10-Feb-17,10-Feb-18
15/05801/HMOADS,37 Venneit Close Oxford Oxfordshire OX1 1HY,3,,10-Feb-16,10-Feb-18
16/04358/HMOADS,44 Union Street Oxford Oxfordshire OX4 1JP,4,,10-Feb-17,10-Feb-18
15/05318/HMOADL,96 Ridgefield Road Oxford Oxfordshire OX4 3DA,7,,10-Feb-17,10-Feb-18
15/04848/HMOLIC,109 Howard Street Oxford Oxfordshire OX4 3AZ,5,5,24-Dec-15,10-Feb-18
16/05963/HMOLIC,142 Hurst Street Oxford Oxfordshire OX4 1HG,5,,10-Feb-17,10-Feb-18
16/05334/HMOADL,25 Bartlemas Road Oxford Oxfordshire OX4 1XU,5,,10-Feb-17,10-Feb-18
15/05426/HMOLIC,50 Ridgefield Road Oxford OX4 3BX,11,11,10-Feb-17,10-Feb-18
16/05943/HMOADS,3 Acland Close Oxford Oxfordshire OX3 7XE,4,3,11-Feb-17,11-Feb-18
16/06006/HMOADL,27 East Avenue Oxford OX4 1XP,5,6,11-Feb-17,11-Feb-18
16/03464/HMOADL,76 Ridgefield Road Oxford Oxfordshire OX4 3DA,14,,12-Aug-16,11-Feb-18
16/03077/HMOLIC,Student Accomodation 141-145 Cowley Road Oxford Oxfordshire OX4 1UT,9,9,11-Jul-16,11-Feb-18
16/00089/HMOADS,6 Juxon Street Oxford Oxfordshire OX2 6DL,4,4,11-Feb-16,11-Feb-18
16/00091/HMOADS,56 Juxon Street Oxford Oxfordshire OX2 6DJ,5,5,11-Feb-16,11-Feb-18
16/05941/HMOADL,27 Long Close Oxford Oxfordshire OX3 8TT,5,5,11-Feb-17,11-Feb-18
16/04593/HMOLIC,111 Cowley Road Oxford Oxfordshire OX4 1HU,6,7,11-Nov-16,11-Feb-18
16/02453/HMOADL,30 Weldon Road Oxford Oxfordshire OX3 0HP,5,3,12-Jun-16,11-Feb-18
16/05605/HMOADS,17 Ablett Close Oxford Oxfordshire OX4 1XH,4,,17-Jan-17,12-Feb-18
16/06025/HMOLIC,93 Walton Street Oxford Oxfordshire OX2 6EB,7,7,12-Feb-17,12-Feb-18
17/00688/HMOLIC,23 Catherine Street Oxford Oxfordshire OX4 3AQ,5,5,12-Feb-17,12-Feb-18
16/05928/HMOADS,Second Floor Flat B 47-48 St John Street Oxford Oxfordshire OX1 2LQ,4,4,12-Feb-17,12-Feb-18
16/06126/HMOADS,9 Cross Street Oxford Oxfordshire OX4 1BZ,3,3,12-Feb-17,12-Feb-18
16/06086/HMOLIC,39 Whitehouse Road Oxford Oxfordshire OX1 4PA,5,,14-Feb-17,13-Feb-18
16/05180/HMOLIC,113 Valentia Road Oxford Oxfordshire OX3 7PP,6,6,14-Dec-16,13-Feb-18
16/01135/HMOADS,259 Abingdon Road Oxford OX1 4TH,4,,14-Feb-17,13-Feb-18
16/00289/HMOADL,20 Nicholson Road Oxford Oxfordshire OX3 0HW,5,5,14-Feb-17,13-Feb-18
16/05808/HMOADS,93 Morrell Avenue Oxford Oxfordshire OX4 1NQ,4,,14-Feb-17,13-Feb-18
16/02379/HMOADL,21 Mill Street Oxford Oxfordshire OX2 0AJ,4,,14-Feb-17,13-Feb-18
16/05071/HMOADS,37 Dodgson Road Oxford Oxfordshire OX4 3QS,4,,14-Feb-17,13-Feb-18
16/05578/HMOADL,86 Temple Road Oxford Oxfordshire OX4 2EZ,6,6,14-Jan-17,13-Feb-18
